alpha_raptor,BCH_bits,c_w,c_r,success-percentage
N,a,m,e,s,p,a,c,e,(,e,p,s,=,0,.,0,0,5,",", ,i,n,p,u,t,_,f,i,l,e,=,',r,a,n,d,o,m,_,d,a,t,a,_,3,2,K,B,',",", ,n,u,m,_,c,h,u,n,k,s,=,1,0,0,0,",", ,n,u,m,_,e,x,p,e,r,i,m,e,n,t,s,=,1,0,0,)
0.28,4,1.49,2.30,48
0.28,4,1.49,2.40,95
0.28,4,1.49,2.50,100
0.28,4,1.49,2.60,100
0.03,2,1.10,6.50,99
0.03,2,1.10,6.60,98
0.03,2,1.10,6.70,98
0.03,2,1.10,6.80,100
0.08,3,1.20,4.10,89
0.08,3,1.20,4.20,95
0.08,3,1.20,4.30,99
0.08,3,1.20,4.40,99
0.08,3,1.20,4.50,100
0.11,4,1.30,3.10,81
0.11,4,1.30,3.20,94
0.11,4,1.30,3.30,99
0.11,4,1.30,3.40,100
